binomial,count
Calochortus elegans,1
Calochortus longebarbatus,10
Calochortus lyallii,3
Calochortus macrocarpus,6
Calochortus subalpinus,28
Calochortus tolmiei,3
Clintonia uniflora,87
Erythronium grandiflorum,74
Erythronium hendersonii,1
Erythronium montanum,100
Erythronium oregonum,82
Erythronium quinaultense,2
Erythronium revolutum,20
Fritillaria affinis,144
Fritillaria atropurpurea,18
Fritillaria camschatcensis,14
Fritillaria imperialis,2
Fritillaria oredoxa,1
Fritillaria pudica,19
Lilium columbianum,124
Lloydia serotina,11
Prosartes hookeri,119
Prosartes smithii,35
Prosartes trachycarpa,3
Streptopus amplexifolius,110
Streptopus lanceolatus,59
Streptopus streptopoides,10
