Aptenia cordifolia	Dew plant	38 records (13 CCH)		Perennial herb	non-native	AIZOACEAE
Carpobrotus chilensis	Sea fig	586 records (102 CCH)		Perennial herb	invasive non-native	AIZOACEAE
Carpobrotus edulis	Iceplant	2459 records (53 CCH)		Perennial herb	invasive non-native	AIZOACEAE
Conicosia pugioniformis	False ice plant	186 records (52 CCH)		Perennial herb	invasive non-native	AIZOACEAE
Cypselea humifusa	Panal	50 records (43 CCH)		Annual herb	non-native	AIZOACEAE
Delosperma litorale	Ice plant	5 records (2 CCH)		Shrub (stem succulent)	non-native	AIZOACEAE
Drosanthemum floribundum	Ice plant	78 records (21 CCH)		Perennial herb	non-native	AIZOACEAE
Drosanthemum hispidum	Hairy dewflower	2 records (1 CCH)		Perennial herb	non-native	AIZOACEAE
Lampranthus aurantiacus	Golden iceplant	1 record		Perennial herb	non-native	AIZOACEAE
Lampranthus coccineus	Redflush	1 record (1 CCH)		Perennial herb	non-native	AIZOACEAE
Malephora crocea	Coppery mesembryanthemum	10 records (10 CCH)		Perennial herb	invasive non-native	AIZOACEAE
Mesembryanthemum crystallinum	Crystalline ice plant	48 records (21 CCH)		Annual herb	invasive non-native	AIZOACEAE
Mesembryanthemum nodiflorum	Small flowered iceplant	500 records (18 CCH)		Annual herb	non-native	AIZOACEAE
Sesuvium verrucosum	Western sea purslane	93 records (51 CCH)		Perennial herb	native	AIZOACEAE
Tetragonia tetragonioides	New zealand spinach	796 records (60 CCH)		Annual herb	invasive non-native	AIZOACEAE
Tetragonia tetragonoides	New zealand spinach	8 records			non-native	AIZOACEAE
Trianthema portulacastrum	Horse purslane	17 records (13 CCH)		Annual herb	native	AIZOACEAE
