Toxicodendron diversilobum	Poison oak	3301 records (460 CCH)		Vine, Shrub	native	ANACARDIACEAE
Rhus aromatica	Fragrant sumac	638 records (421 CCH)		Shrub	native	ANACARDIACEAE
Pistacia chinensis	Chinese pistachio	128 records (12 CCH)		Tree	invasive non-native	ANACARDIACEAE
Schinus molle	Peruvian pepper tree	127 records (41 CCH)		Tree	invasive non-native	ANACARDIACEAE
Rhus ovata	Sugar bush	87 records (76 CCH)		Shrub	native	ANACARDIACEAE
Malosma laurina	Laurel sumac	74 records (61 CCH)		Tree, Shrub	native	ANACARDIACEAE
Rhus integrifolia	Lemonade berry	72 records (58 CCH)		Shrub	native	ANACARDIACEAE
Pistacia atlantica	Pistachio	32 records (27 CCH)		Tree	invasive non-native	ANACARDIACEAE
Schinus terebinthifolius	Brazilian pepper tree	28 records (3 CCH)		Tree, Shrub	invasive non-native	ANACARDIACEAE
Rhus glabra	Smooth sumac	3 records (3 CCH)		Tree	non-native	ANACARDIACEAE
Cotinus coggygria	European smoketree	3 records (2 CCH)		Tree, Shrub	non-native	ANACARDIACEAE
