Lonicera hispidula	Pink honeysuckle	1238 records (563 CCH)		Vine, Shrub	native	CAPRIFOLIACEAE
Symphoricarpos mollis	Snowberry	1195 records (700 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera interrupta	Chaparral honeysuckle	691 records (449 CCH)		Vine, Shrub	native	CAPRIFOLIACEAE
Symphoricarpos albus var. laevigatus	Snowberry	637 records (390 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera involucrata var. ledebourii	Coast twinberry	498 records (371 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera conjugialis	Purpleflower honeysuckle	404 records (333 CCH)		Shrub	native	CAPRIFOLIACEAE
Symphoricarpos rotundifolius	Mountain snowberry	365 records (237 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera subspicata var. denudata	Johnston's honeysuckle	343 records (168 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera involucrata	Coast twinberry	294 records (184 CCH)		Shrub	native	CAPRIFOLIACEAE
Symphoricarpos rotundifolius var. rotundifolius	Snowberry	291 records (224 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera involucrata var. involucrata	Twinberry	201 records (186 CCH)		Shrub	native	CAPRIFOLIACEAE
Symphoricarpos albus	Common snowberry	163 records (32 CCH)		Shrub	native	CAPRIFOLIACEAE
Symphoricarpos rotundifolius var. parishii	Parish's snowberry	143 records (117 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera subspicata	Southern honeysuckle	130 records (27 CCH)		Shrub	native	CAPRIFOLIACEAE
Symphoricarpos longiflorus	Desert snowberry	101 records (86 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera japonica	Japanese honeysuckle	73 records (41 CCH)		Vine, Shrub	non-native	CAPRIFOLIACEAE
Lonicera cauriana	Sweet berry honeysuckle	54 records (38 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera ciliosa	Orange honeysuckle	50 records (42 CCH)		Vine, Shrub	native	CAPRIFOLIACEAE
Lonicera subspicata var. subspicata	Southern honeysuckle	50 records (32 CCH)		Shrub	native	CAPRIFOLIACEAE
Lonicera tatarica	Tatarian honeysuckle	6 records (5 CCH)		Shrub	non-native	CAPRIFOLIACEAE
Abelia Xgrandiflora	Glossy abelia	4 records		Perennial herb	non-native	CAPRIFOLIACEAE
Lonicera etrusca	Etruscan honeysuckle	3 records (3 CCH)		Vine, Shrub	non-native	CAPRIFOLIACEAE
