Marah fabacea	California man-root	1140 records (382 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Marah oregana	Coast man-root	242 records (98 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Marah horrida	Sierra man-root	101 records (52 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Marah watsonii	Watson's wild cucumber	101 records (66 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Cucurbita foetidissima	Missouri gourd	81 records (49 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Marah macrocarpa	Chilicothe	55 records (45 CCH)		Perennial herb, Vine	native	CUCURBITACEAE
Cucurbita palmata	Coyote melon	44 records (32 CCH)		Annual, Perennial herb	native	CUCURBITACEAE
Citrullus lanatus var. lanatus	Watermelon	8 records (7 CCH)		Annual herb	non-native	CUCURBITACEAE
Cucumis myriocarpus	Paddy melon	7 records (6 CCH)		Annual herb, Vine	invasive non-native	CUCURBITACEAE
Cucumis melo	Cantaloupe	7 records (7 CCH)		Annual, Perennial herb	invasive non-native	CUCURBITACEAE
Citrullus lanatus var. citroides	Watermelon	6 records (6 CCH)		Annual herb	non-native	CUCURBITACEAE
Cucurbita pepo	Field pumpkin	3 records		Annual herb, Vine	non-native	CUCURBITACEAE
Citrullus colocynthis	Colocynth	2 records (1 CCH)		Annual herb	non-native	CUCURBITACEAE
Brandegea bigelovii	Brandegea	2 records (1 CCH)		Perennial herb	native	CUCURBITACEAE
Cucumis anguria	West indian gherkin	1 record (1 CCH)		Annual herb, Vine	non-native	CUCURBITACEAE
Cucumis melo var. dudaim	Dudaim melon	1 record (1 CCH)		Annual, Perennial herb	invasive non-native	CUCURBITACEAE
Bryonia dioica	Wild hop	1 record (1 CCH)		Perennial herb, Vine	non-native	CUCURBITACEAE
