Dryopteris arguta	Wood fern	912 records (425 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum munitum	Western sword fern	842 records (271 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum imbricans ssp. imbricans	Rock sword fern	211 records (177 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum imbricans	Narrow leaved sword fern	147 records (104 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum californicum	California sword fern	128 records (67 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum imbricans ssp. curtum	Cliff sword fern	113 records (81 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum dudleyi	Dudley's sword fern	105 records (70 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum lonchitis	Holly fern	83 records (60 CCH)		Fern (rhizomatous)	native	DRYOPTERIDACEAE
Polystichum lemmonii	Lemmon's sword fern	79 records (72 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum scopulinum	Mountain holly fern	70 records (59 CCH)		Fern	native	DRYOPTERIDACEAE
Dryopteris expansa	Spreading wood fern	50 records (29 CCH)		Fern	native	DRYOPTERIDACEAE
Polystichum kruckebergii	Kruckeberg's sword fern	32 records (24 CCH)		Fern (rhizomatous)	native	DRYOPTERIDACEAE
Dryopteris filix-mas	Male fern	11 records (7 CCH)		Fern (rhizomatous)	native	DRYOPTERIDACEAE
Cyrtomium falcatum	Japanese netvein hollyfern	9 records (8 CCH)		Fern	non-native	DRYOPTERIDACEAE
