Toxicoscordion fremontii	Fremont's star lily	668 records (309 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium chloropetalum	Giant wakerobin	311 records (114 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium ovatum	Western wakerobin	304 records (183 CCH)		Perennial herb	native	MELANTHIACEAE
Xerophyllum tenax	Beargrass	276 records (160 CCH)		Perennial herb	native	MELANTHIACEAE
Veratrum californicum var. californicum	California corn lily	213 records (129 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion venenosum var. venenosum	Meadow deathcamas	213 records (162 CCH)		Perennial herb	native	MELANTHIACEAE
Veratrum californicum	California false hellebore	165 records (48 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion paniculatum	Foothill deathcamas	146 records (107 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion micranthum	Small flowered star lily	145 records (113 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium ovatum ssp. ovatum	Western wakerobin	96 records (5 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium albidum	Giant white wakerobin	93 records (71 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion fontanum	Marsh zigadenus	89 records (49 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion venenosum	Meadow deathcamas	85 records (53 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium ovatum ssp. oettingeri	Salmon mtns. wakerobin	75 records (65 CCH)		Perennial herb	native	MELANTHIACEAE
Veratrum fimbriatum	Fringed cornlily	72 records (31 CCH)		Perennial herb	native	MELANTHIACEAE
Veratrum insolitum	Siskiyou false hellebore	72 records (56 CCH)		Perennial herb	native	MELANTHIACEAE
Trillium angustipetalum	Narrow petaled wakerobin	56 records (37 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion brevibracteatum	Desert death camas	51 records (42 CCH)		Perennial herb	native	MELANTHIACEAE
Toxicoscordion exaltatum	Giant death camas	49 records (35 CCH)		Perennial herb	native	MELANTHIACEAE
Pseudotrillium rivale	Siskiyou wakerobin	35 records (29 CCH)		Perennial herb	native	MELANTHIACEAE
Stenanthium occidentale	Western stenanthium	24 records (20 CCH)		Perennial herb	native	MELANTHIACEAE
Veratrum viride	American false hellebore	13 records (12 CCH)		Perennial herb	native	MELANTHIACEAE
