Callistemon citrinus	Crimson bottlebrush	12 records (1 CCH)		Tree, Shrub	non-native	MYRTACEAE
Eucalyptus camaldulensis	Red gum	151 records (46 CCH)		Tree	invasive non-native	MYRTACEAE
Eucalyptus citriodora	Lemon scented gum	6 records (5 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus cladocalyx	Sugar gum	3 records (3 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus conferruminata	Spider gum, bushy yate	10 records (8 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus globulus	Blue gum	1172 records (96 CCH)		Tree	invasive non-native	MYRTACEAE
Eucalyptus globulus ssp. maidenii	Tasmanian bluegum	2 records		Tree	non-native	MYRTACEAE
Eucalyptus grandis	Grand eucalyptus	5 records		Tree	non-native	MYRTACEAE
Eucalyptus lehmannii	Bushy yate	1 record		Tree	non-native	MYRTACEAE
Eucalyptus microtheca	Coolabah	1 record		Tree	non-native	MYRTACEAE
Eucalyptus polyanthemos	Silver dollar gum	33 records (27 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus pulchella		5 records (4 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus pulverulenta	Money tree	7 records (5 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus rudis	Western australian floodedgum	8 records (8 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus sideroxylon	Red iron bark	22 records (17 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus tereticornis	Forest red gum	31 records (27 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus torquata	Coral gum	4 records (4 CCH)		Tree	non-native	MYRTACEAE
Eucalyptus viminalis	Manna gum	28 records (24 CCH)		Tree	non-native	MYRTACEAE
Feijoa sellowiana	Pineapple guava	3 records		Tree	non-native	MYRTACEAE
Leptospermum laevigatum	Australian tea tree	160 records (18 CCH)		Shrub	invasive non-native	MYRTACEAE
Luma apiculata	Temu	1 record (1 CCH)		Tree, Shrub	non-native	MYRTACEAE
Melaleuca nesophila		4 records (2 CCH)		Tree	non-native	MYRTACEAE
Myrtus communis	Myrtle	12 records (11 CCH)		Shrub	non-native	MYRTACEAE
Psidium guajava	Guava	1 record (1 CCH)		Tree, Shrub	non-native	MYRTACEAE
Syzygium australe	Brush cherry	1 record (1 CCH)		Tree	non-native	MYRTACEAE
Syzygium paniculatum	Brush cherry	2 records (2 CCH)		Tree	non-native	MYRTACEAE
