Oxalis pes-caprae	Bermuda buttercup	1377 records (74 CCH)		Perennial herb	invasive non-native	OXALIDACEAE
Oxalis oregana	Redwood sorrel	321 records (152 CCH)		Perennial herb	native	OXALIDACEAE
Oxalis corniculata	Creeping wood sorrel	187 records (90 CCH)		Perennial herb	invasive non-native	OXALIDACEAE
Oxalis pilosa	Hairy wood sorrel	167 records (83 CCH)		Annual herb	native	OXALIDACEAE
Oxalis micrantha	Dwarf woodsorrel	87 records (54 CCH)		Annual herb	non-native	OXALIDACEAE
Oxalis incarnata	Crimson woodsorrel	67 records (17 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis articulata ssp. rubra	Windowbox woodsorrel	27 records (18 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis suksdorfii	Suksdorf woodsorrel	26 records (22 CCH)		Perennial herb	native	OXALIDACEAE
Oxalis californica	Californica wood sorrel	23 records (21 CCH)		Perennial herb	native	OXALIDACEAE
Oxalis trilliifolia	Three leaf woodsorrel	16 records (13 CCH)		Perennial herb	native	OXALIDACEAE
Oxalis latifolia	Mexican oxalis	15 records (13 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis purpurea	Purple oxalis	7 records (3 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis albicans	Hairywood sorrell	6 records (1 CCH)		Perennial herb	native	OXALIDACEAE
Oxalis hirta	Tropical woodsorrel	4 records (2 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis bowiei	Red flower woodsorrel	4 records (4 CCH)		Perennial herb	non-native	OXALIDACEAE
Oxalis radicosa	Dwarf woodsorrel	2 records (1 CCH)		Annual herb	non-native	OXALIDACEAE
